type,number
Apartment,0
Bed & Breakfast,0
Boutique hotel,0
Condominium,0
Dorm,0
Guesthouse,0
Hostel,0
House,0
Loft,0
Other,0
Timeshare,0
Townhouse,0
Villa,0
Yurt,0
